Weight in kg	Height	HeightClass	Player	Team	WeightClass	Year
95,2543977	193,04	192	Jason Kidd	New Jersey Nets	95	2003
106,59420695	200,66	198	Paul Pierce	Boston Celtics	105	2003
97,52235955	190,5	189	Baron Davis	New Orleans Hornets	95	2003
117,9340162	200,66	198	Metta World Peace	Indiana Pacers	115	2003
99,7903214	198,12	198	Michael Redd	Milwaukee Bucks	95	2003
108,8621688	205,74	204	Kenyon Martin	New Jersey Nets	105	2003
117,48042383	210,82	210	Jamaal Magloire	New Orleans Hornets	115	2003
108,8621688	205,74	204	Ben Wallace	Detroit Pistons	105	2002
106,59420695	210,82	210	Jermaine O'Neal	Indiana Pacers	105	2002
95,2543977	203,2	201	Tracy McGrady	Orlando Magic	95	2002
74,84274105	182,88	180	Allen Iverson	Philadelphia Sixers	70	2002
95,2543977	193,04	192	Jason Kidd	New Jersey Nets	95	2002
106,59420695	200,66	198	Paul Pierce	Boston Celtics	105	2002
120,20197805	205,74	204	Antoine Walker	Boston Celtics	120	2002
117,9340162	220,98	219	Zydrunas Ilgauskas	Cleveland Cavaliers	115	2002
97,52235955	198,12	198	Michael Jordan	Washington Wizards	95	2002
112,03731539	203,2	201	Jamal Mashburn	New Orleans Hornets	110	2002
99,7903214	198,12	198	Vince Carter	Toronto Raptors	95	2002
118,38760857	213,36	213	Brad Miller	Indiana Pacers	115	2002
88,45051215	190,5	189	Steve Francis	Houston Rockets	85	2002
140,6136347	228,6	228	Yao Ming	Houston Rockets	140	2002
96,16158244	198,12	198	Kobe Bryant	Los Angeles Lakers	95	2002
108,8621688	210,82	210	Kevin Garnett	Minnesota Timberwolves	105	2002
113,3980925	210,82	210	Tim Duncan	San Antonio Spurs	110	2002
147,41752025	215,9	213	Shaquille O'Neal	Los Angeles Lakers	145	2002
81,6466266	187,96	186	Stephon Marbury	Phoenix Suns	80	2002
103,41906036	200,66	198	Shawn Marion	Phoenix Suns	100	2002
80,73944186	190,5	189	Steve Nash	Dallas Mavericks	80	2002
111,13013065	213,36	213	Dirk Nowitzki	Dallas Mavericks	110	2002
81,6466266	193,04	192	Gary Payton	Seattle SuperSonics	80	2002
103,87265273	208,28	207	Peja Stojakovic	Sacramento Kings	100	2002
111,13013065	205,74	204	Chris Webber	Sacramento Kings	110	2002
117,9340162	218,44	216	Dikembe Mutombo	Philadelphia Sixers	115	2001
99,7903214	198,12	198	Vince Carter	Toronto Raptors	95	2001
120,20197805	205,74	204	Antoine Walker	Boston Celtics	120	2001
74,84274105	182,88	180	Allen Iverson	Philadelphia Sixers	70	2001
92,98643585	195,58	195	Ray Allen	Milwaukee Bucks	90	2001
102,05828325	205,74	204	Shareef Abdur-Rahim	Atlanta Hawks	100	2001
95,2543977	193,04	192	Jason Kidd	New Jersey Nets	95	2001
95,2543977	203,2	201	Tracy McGrady	Orlando Magic	95	2001
108,8621688	208,28	207	Alonzo Mourning	Miami Heat	105	2001
106,59420695	200,66	198	Paul Pierce	Boston Celtics	105	2001
106,59420695	210,82	210	Jermaine O'Neal	Indiana Pacers	105	2001
97,52235955	190,5	189	Baron Davis	Charlotte Hornets	95	2001
